"hr","weekday","weathersit","temp","hum","windspeed","ToD","temp2","season","mnth","cnt"
1,"3","1",NA,0.74,NA,"(-0.01,5]",0.2304,"1",1,6
2,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,2
NA,"3",NA,NA,0.48,0.2239,"(-0.01,5]",NA,"1",1,2
5,"3","1",2.34,0.47,0.1642,"(-0.01,5]",5.4756,"1",1,3
6,"3","1",1.4,0.47,0.2239,"(5,10]",1.96,"1",1,33
7,"3","1",NA,0.43,0.194,"(5,10]",0.211599999999999,"1",1,88
8,NA,"1",1.4,0.4,0.2985,"(5,10]",1.96,"1",1,195
9,"3",NA,2.34,0.37,0.3284,"(5,10]",5.4756,"1",1,115
10,"3","1",2.34,0.37,0.3284,"(5,10]",NA,"1",1,57
11,"3","1",4.22,0.33,0.3284,"(10,16]",17.8084,"1",1,46
12,"3",NA,4.22,0.33,0.3284,"(10,16]",17.8084,"1",1,79
13,"3","1",5.16,0.3,0.2985,"(10,16]",26.6256,"1",1,71
14,"3","1",6.1,0.28,0.194,"(10,16]",37.21,"1",1,62
NA,"3",NA,NA,0.28,0.194,"(10,16]",NA,"1",1,62
16,"3","1",6.1,0.28,0.0896,"(10,16]",37.21,"1",1,89
NA,"3",NA,NA,0.38,NA,NA,NA,"1",1,190
18,NA,"1",3.28,NA,NA,NA,10.7584,"1",1,169
19,NA,"1",3.28,NA,NA,NA,10.7584,"1",1,132
20,"3","1",2.34,0.47,0.1642,"(19,24]",5.4756,"1",1,89
NA,"3",NA,1.4,0.51,0.194,"(19,24]",1.96,"1",1,43
22,"3","1",0.459999999999999,0.55,0.1343,"(19,24]",0.211599999999999,"1",1,42
23,"3","1",1.4,0.47,0,"(19,24]",NA,"1",1,19
NA,"4",NA,NA,0.55,0,"(-0.01,5]",NA,"1",1,11
1,"4","1",-0.48,0.64,0,"(-0.01,5]",0.2304,"1",1,4
2,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,2
4,"4","2",-0.48,0.64,0.0896,"(-0.01,5]",NA,"1",1,1
5,NA,NA,-1.42,NA,NA,NA,2.0164,"1",1,4
6,NA,"2",-1.42,NA,NA,NA,2.0164,"1",1,36
7,"4","2",-0.48,0.59,0,"(5,10]",0.2304,"1",1,95
8,NA,NA,-0.48,NA,NA,NA,0.2304,"1",1,219
9,NA,"2",0.459999999999999,NA,NA,NA,0.211599999999999,"1",1,122
NA,"4",NA,NA,0.47,NA,"(5,10]",NA,"1",1,45
11,"4","1",2.34,0.44,0.0896,"(10,16]",5.4756,"1",1,59
12,"4","1",4.22,0.35,0,"(10,16]",NA,"1",1,84
13,"4","1",4.22,0.35,0.1045,"(10,16]",17.8084,"1",1,67
14,"4",NA,5.16,0.36,0.1642,"(10,16]",26.6256,"1",1,70
NA,"4","1",5.16,0.36,0,"(10,16]",26.6256,"1",1,62
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,86
NA,"4",NA,NA,0.51,0.1642,"(16,19]",NA,"1",1,172
18,NA,"1",2.34,NA,NA,NA,5.4756,"1",1,163
19,"4","1",2.34,0.55,0.0896,"(16,19]",5.4756,"1",1,112
20,"4","1",1.4,0.51,0.1642,"(19,24]",1.96,"1",1,69
21,"4","2",2.34,0.55,0.2239,"(19,24]",5.4756,"1",1,48
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,52
23,NA,NA,1.4,NA,NA,NA,1.96,"1",1,23
NA,"5",NA,NA,0.64,0.194,"(-0.01,5]",NA,"1",1,17
1,NA,"2",NA,NA,NA,NA,1.96,"1",1,7
2,NA,"2",1.4,NA,NA,NA,1.96,"1",1,1
4,"5","2",1.4,0.69,0.1343,"(-0.01,5]",1.96,"1",1,1
NA,"5",NA,NA,0.55,0,"(-0.01,5]",NA,"1",1,5
6,NA,"2",1.4,NA,NA,NA,1.96,"1",1,34
7,"5","1",1.4,0.69,NA,"(5,10]",1.96,"1",1,84
NA,"5","1",1.4,0.51,0.2537,"(5,10]",1.96,"1",1,210
9,"5","1",1.4,0.47,0.2985,"(5,10]",1.96,"1",1,134
10,"5","1",NA,0.37,0.3284,"(5,10]",5.4756,"1",1,63
11,"5","2",NA,0.4,0.2239,"(10,16]",1.96,"1",1,67
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,59
NA,"5",NA,NA,0.37,0.2836,"(10,16]",NA,"1",1,73
14,"5","2",1.4,0.4,NA,"(10,16]",1.96,"1",1,50
NA,"5",NA,NA,0.37,0.1642,"(10,16]",NA,"1",1,72
NA,"5",NA,1.4,0.37,0.1642,"(10,16]",NA,"1",1,87
17,NA,"2",NA,0.37,0,"(16,19]",1.96,"1",1,187
18,"5",NA,1.4,0.4,0.0896,"(16,19]",1.96,"1",1,123
19,"5","1",-0.48,0.55,0.0896,"(16,19]",0.2304,"1",1,95
20,NA,"1",0.459999999999999,NA,NA,NA,0.211599999999999,"1",1,51
21,NA,"1",0.459999999999999,NA,NA,NA,0.211599999999999,"1",1,39
22,"5","2",0.459999999999999,0.43,0.1642,"(19,24]",0.211599999999999,"1",1,36
23,"5","2",0.459999999999999,0.51,0.1642,"(19,24]",NA,"1",1,15
NA,"6",NA,NA,0.51,0.1642,"(-0.01,5]",NA,"1",1,25
NA,"6",NA,NA,NA,0.0896,"(-0.01,5]",NA,"1",1,16
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,16
3,"6","3",0.459999999999999,0.55,0.1642,"(-0.01,5]",0.211599999999999,"1",1,7
4,"6","3",NA,0.55,NA,"(-0.01,5]",0.211599999999999,"1",1,1
5,"6","2",-0.48,0.74,0.1642,"(-0.01,5]",0.2304,"1",1,5
6,"6","2",-0.48,0.74,0.1642,"(5,10]",0.2304,"1",1,2
7,"6","2",-0.48,0.74,0.1045,"(5,10]",0.2304,"1",1,9
8,"6","3",-0.48,0.93,0.1045,"(5,10]",0.2304,"1",1,15
9,"6","3",-0.48,0.93,0.1045,"(5,10]",0.2304,"1",1,20
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,61
11,"6","2",1.4,0.69,0.3881,"(10,16]",1.96,"1",1,62
12,NA,"2",1.4,NA,NA,NA,1.96,"1",1,98
13,"6","1",1.4,NA,0.3284,"(10,16]",1.96,"1",1,102
14,"6","1",1.4,0.32,0.4925,"(10,16]",1.96,"1",1,95
15,"6","1",1.4,0.32,0.4478,"(10,16]",1.96,"1",1,74
16,"6","1",0.459999999999999,0.29,0.4478,"(10,16]",0.211599999999999,"1",1,76
17,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,69
18,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,55
19,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,30
20,NA,"1",-2.36,NA,NA,NA,5.5696,"1",1,28
21,"6","1",-2.36,0.39,0.3582,"(19,24]",5.5696,"1",1,37
22,"6","1",-2.36,0.36,0.3881,"(19,24]",5.5696,"1",1,34
NA,"6",NA,NA,0.39,NA,"(19,24]",NA,"1",1,22
0,"0","1",-3.3,0.42,0.3881,"(-0.01,5]",10.89,"1",1,25
NA,"0",NA,NA,0.42,0.4627,"(-0.01,5]",NA,"1",1,12
2,"0","1",-3.3,0.46,0.4627,"(-0.01,5]",10.89,"1",1,11
3,"0","1",-3.3,0.46,0.4179,"(-0.01,5]",NA,"1",1,4
4,"0","1",NA,0.53,0.194,"(-0.01,5]",17.9776,"1",1,1
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,1
7,"0","1",-4.24,0.53,0.194,"(5,10]",17.9776,"1",1,6
8,"0","1",NA,0.49,0.2836,"(5,10]",10.89,"1",1,10
9,"0","1",-2.36,0.46,NA,"(5,10]",5.5696,"1",1,19
10,"0","1",-1.42,0.43,0.3881,"(5,10]",2.0164,"1",1,49
11,"0","1",-0.48,0.4,0.5224,"(10,16]",0.2304,"1",1,49
12,"0","1",0.459999999999999,0.37,0.4478,NA,0.211599999999999,"1",1,83
13,"0","1",1.4,0.34,0.4478,"(10,16]",NA,"1",1,75
14,"0","1",2.34,0.32,0.4627,"(10,16]",5.4756,"1",1,72
15,"0","1",2.34,0.35,0.3582,"(10,16]",5.4756,"1",1,82
16,NA,"1",1.4,NA,NA,NA,1.96,"1",1,92
17,"0","1",0.459999999999999,0.37,0.3881,"(16,19]",0.211599999999999,"1",1,62
18,"0","1",-0.48,NA,0.3284,"(16,19]",0.2304,"1",1,48
19,"0","1",NA,0.43,0.3284,NA,0.2304,"1",1,41
NA,"0","1",-1.42,0.46,0.2537,"(19,24]",2.0164,"1",1,38
21,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,20
22,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,15
23,"0","1",-2.36,0.5,0.194,"(19,24]",5.5696,"1",1,6
0,NA,"1",-2.36,NA,NA,NA,5.5696,"1",1,5
1,"1","1",-2.36,0.5,0.2836,"(-0.01,5]",5.5696,"1",1,1
2,"1","1",-2.36,0.5,0.2239,"(-0.01,5]",5.5696,"1",1,3
3,"1","1",-2.36,0.5,0.2239,"(-0.01,5]",5.5696,"1",1,1
4,NA,"1",-3.3,NA,NA,NA,10.89,"1",1,3
5,"1","1",-3.3,0.54,0.2537,NA,10.89,"1",1,3
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,31
7,"1",NA,-2.36,0.5,0.2239,"(5,10]",5.5696,"1",1,77
8,"1","2",-2.36,0.5,0.2836,"(5,10]",5.5696,"1",1,188
9,"1","2",-1.42,0.5,0.2537,"(5,10]",2.0164,"1",1,94
10,NA,NA,-1.42,NA,NA,NA,2.0164,"1",1,31
11,"1","2",-0.48,0.47,0.2836,"(10,16]",0.2304,"1",1,30
12,"1","2",1.4,0.4,0.2836,"(10,16]",1.96,"1",1,52
NA,"1",NA,NA,0.4,0.2836,"(10,16]",NA,"1",1,54
14,NA,"2",1.4,NA,NA,NA,1.96,"1",1,47
15,NA,"2",1.4,NA,NA,NA,1.96,"1",1,45
16,"1","1",1.4,0.4,0.1343,"(10,16]",1.96,"1",1,74
17,"1","1",1.4,0.4,0.1045,"(16,19]",NA,"1",1,178
18,"1","1",1.4,0.4,0.2239,"(16,19]",NA,"1",1,155
19,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,95
20,"1","1",-0.48,0.5,0.1642,"(19,24]",0.2304,"1",1,74
NA,"1",NA,NA,0.59,0.194,"(19,24]",NA,"1",1,38
NA,"1",NA,NA,0.59,0.1642,"(19,24]",NA,"1",1,24
23,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,18
0,"2","1",-1.42,0.59,0.1045,"(-0.01,5]",2.0164,"1",1,12
1,NA,NA,-1.42,NA,NA,NA,2.0164,"1",1,3
2,"2","2",-0.48,0.55,0.194,"(-0.01,5]",0.2304,"1",1,3
5,NA,"2",-0.48,NA,NA,NA,0.2304,"1",1,6
6,"2","2",-0.48,0.55,0.1343,NA,0.2304,"1",1,27
7,"2","2",-0.48,0.55,0,"(5,10]",0.2304,"1",1,99
8,"2","2",0.459999999999999,0.51,0.0896,"(5,10]",0.211599999999999,"1",1,217
9,"2","2",0.459999999999999,0.51,0.1642,"(5,10]",0.211599999999999,"1",1,130
NA,"2",NA,NA,0.51,0.1642,"(5,10]",NA,"1",1,54
11,"2","2",1.4,0.47,0.1343,"(10,16]",1.96,"1",1,35
12,NA,"2",1.4,0.51,0.1045,"(10,16]",1.96,"1",1,57
13,"2","2",1.4,0.59,0.0896,"(10,16]",1.96,"1",1,52
14,NA,"2",1.4,0.59,0.0896,"(10,16]",1.96,"1",1,63
15,"2","2",-0.48,0.8,0.0896,"(10,16]",0.2304,"1",1,47
16,NA,"2",-0.48,NA,NA,NA,0.2304,"1",1,76
17,"2","2",-0.48,0.86,0.2239,"(16,19]",0.2304,"1",1,136
18,NA,"3",-0.48,NA,NA,NA,0.2304,"1",1,95
19,"2","3",-0.48,0.93,0,"(16,19]",0.2304,"1",1,51
NA,"2",NA,NA,0.93,0.194,"(19,24]",NA,"1",1,32
21,"2","3",-0.48,0.86,0.0896,"(19,24]",0.2304,"1",1,20
22,"2","3",-0.48,0.93,0.1045,"(19,24]",0.2304,"1",1,29
23,"2","3",-0.48,0.93,0.0896,"(19,24]",0.2304,"1",1,19
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,7
1,"3","2",-0.48,0.86,0.1045,"(-0.01,5]",0.2304,"1",1,6
2,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,1
NA,"3",NA,NA,0.86,0.1642,"(-0.01,5]",NA,"1",1,5
NA,"3",NA,NA,0.93,0.1343,"(5,10]",NA,"1",1,16
7,"3","1",-1.42,0.69,0.1343,"(5,10]",2.0164,"1",1,54
8,"3","1",-0.48,0.59,0.1642,"(5,10]",0.2304,"1",1,128
9,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,81
NA,"3",NA,NA,0.55,0.2239,"(5,10]",NA,"1",1,39
11,NA,"1",1.4,NA,NA,NA,1.96,"1",1,35
12,NA,"1",1.4,NA,NA,NA,1.96,"1",1,55
NA,"3",NA,NA,0.44,0.3582,"(10,16]",NA,"1",1,49
14,NA,"1",1.4,NA,NA,NA,NA,"1",1,44
NA,"3",NA,NA,0.47,0.4179,"(10,16]",NA,"1",1,49
NA,"3",NA,NA,0.44,0.3284,"(10,16]",NA,"1",1,68
17,"3","1",1.4,0.47,0.3582,"(16,19]",1.96,"1",1,139
18,"3","1",1.4,0.47,0.5224,"(16,19]",1.96,"1",1,137
19,"3","1",0.459999999999999,0.47,0.4179,"(16,19]",0.211599999999999,"1",1,83
20,"3","1",-0.48,0.5,0.3284,"(19,24]",0.2304,"1",1,56
21,"3","1",-0.48,0.55,0.3284,"(19,24]",0.2304,"1",1,57
22,"3","1",-0.48,0.55,0.4478,"(19,24]",0.2304,"1",1,33
23,"3","1",-1.42,0.59,0.4179,"(19,24]",2.0164,"1",1,20
0,"4",NA,-1.42,0.59,0.2836,"(-0.01,5]",NA,"1",1,7
1,"4","1",-1.42,0.5,0.2836,"(-0.01,5]",2.0164,"1",1,2
2,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,2
NA,"4",NA,NA,0.5,0.3284,"(-0.01,5]",NA,"1",1,3
4,"4","1",-1.42,0.5,0.2537,"(-0.01,5]",2.0164,"1",1,4
5,"4","1",-1.42,0.5,0.2985,"(-0.01,5]",2.0164,"1",1,3
6,NA,NA,-2.36,NA,NA,NA,5.5696,"1",1,28
7,"4","1",-2.36,0.54,0.1343,"(5,10]",5.5696,"1",1,72
8,"4","1",-1.42,0.5,0.194,"(5,10]",2.0164,"1",1,202
NA,"4",NA,NA,0.5,NA,"(5,10]",NA,"1",1,139
10,"4","2",-0.48,0.5,0.3582,"(5,10]",0.2304,"1",1,38
11,"4","2",1.4,0.44,0.4478,"(10,16]",1.96,"1",1,37
NA,"4",NA,NA,0.44,0.4179,"(10,16]",NA,"1",1,52
NA,"4",NA,NA,0.41,0.4478,"(10,16]",NA,"1",1,83
14,"4","1",2.34,0.41,0.3881,"(10,16]",5.4756,"1",1,42
15,"4","1",3.28,0.38,0.2985,"(10,16]",10.7584,"1",1,60
16,NA,"1",3.28,NA,NA,NA,10.7584,"1",1,78
17,"4","1",1.4,0.4,0.2836,"(16,19]",NA,"1",1,162
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,144
19,"4","1",-0.48,0.47,0.2537,"(16,19]",NA,"1",1,99
20,NA,"1",NA,NA,NA,NA,0.2304,"1",1,64
NA,"4","1",-1.42,0.46,0.2985,"(19,24]",2.0164,"1",1,40
22,"4","1",-1.42,0.46,0.3284,"(19,24]",2.0164,"1",1,30
23,"4","1",-2.36,0.5,0.194,"(19,24]",5.5696,"1",1,15
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,14
NA,"5",NA,NA,0.54,0.1642,"(-0.01,5]",NA,"1",1,5
NA,"5",NA,NA,0.54,0.1343,"(-0.01,5]",NA,"1",1,1
3,"5","1",-3.3,0.54,0.1045,"(-0.01,5]",10.89,"1",1,1
5,"5",NA,-3.3,0.54,0.0896,"(-0.01,5]",10.89,"1",1,8
6,"5","1",-3.3,0.54,0,"(5,10]",10.89,"1",1,17
7,"5","1",-3.3,0.74,0.1642,"(5,10]",10.89,"1",1,70
8,"5","1",-2.36,0.68,0,NA,5.5696,"1",1,158
9,"5","1",-1.42,0.69,0.1343,"(5,10]",2.0164,"1",1,117
NA,"5","1",0.459999999999999,0.55,0.194,"(5,10]",0.211599999999999,"1",1,44
11,NA,"1",NA,NA,NA,NA,0.211599999999999,"1",1,53
12,NA,"1",1.4,0.44,0.2537,"(10,16]",1.96,"1",1,61
13,"5","1",2.34,0.37,0.3881,"(10,16]",5.4756,"1",1,77
14,"5","1",2.34,0.41,0.2836,"(10,16]",5.4756,"1",1,64
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,68
16,"5",NA,2.34,0.41,0.1045,"(10,16]",5.4756,"1",1,90
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,159
18,"5","1",1.4,0.47,0,"(16,19]",1.96,"1",1,139
19,"5","1",-0.48,0.59,0.0896,"(16,19]",0.2304,"1",1,92
20,"5","1",0.459999999999999,0.59,0,"(19,24]",0.211599999999999,"1",1,68
21,"5","1",-0.48,0.69,0,NA,0.2304,"1",1,52
22,"5","2",-0.48,0.69,0,NA,0.2304,"1",1,36
23,"5","2",0.459999999999999,0.55,0,"(19,24]",0.211599999999999,"1",1,27
0,"6",NA,0.459999999999999,0.55,0,"(-0.01,5]",0.211599999999999,"1",1,28
1,"6","2",-0.48,0.59,0.0896,"(-0.01,5]",0.2304,"1",1,20
2,NA,"2",-0.48,NA,NA,NA,0.2304,"1",1,12
NA,"6",NA,NA,0.59,0,"(-0.01,5]",NA,"1",1,8
NA,"6",NA,-0.48,0.59,0,"(-0.01,5]",0.2304,"1",1,5
5,"6","1",-0.48,0.59,0,"(-0.01,5]",0.2304,"1",1,1
NA,"6",NA,NA,0.63,0.1045,"(5,10]",NA,"1",1,3
7,"6","1",-1.42,0.63,0,"(5,10]",2.0164,"1",1,10
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,23
9,"6","1",-0.48,0.64,0.1343,"(5,10]",0.2304,"1",1,33
10,"6","1",0.459999999999999,0.59,0.1642,"(5,10]",0.211599999999999,"1",1,59
11,"6","1",1.4,0.55,0.2239,"(10,16]",1.96,"1",1,72
12,"6",NA,3.28,0.48,0.2239,"(10,16]",10.7584,"1",1,89
13,"6","1",5.16,0.38,0.2985,"(10,16]",26.6256,"1",1,101
14,"6","1",6.1,0.39,0.2836,"(10,16]",37.21,"1",1,118
15,"6","2",7.04,0.36,0.194,"(10,16]",49.5616,"1",1,129
16,"6","2",7.98,0.34,0.194,"(10,16]",63.6804,"1",1,128
NA,NA,"2",7.04,0.36,0.2836,"(16,19]",49.5616,"1",1,83
18,"6","2",6.1,0.45,0.2537,"(16,19]",37.21,"1",1,84
19,"6","2",7.04,0.39,0.2537,"(16,19]",49.5616,"1",1,74
20,"6","2",7.04,0.39,0.2537,"(19,24]",49.5616,"1",1,41
21,"6","2",7.04,0.39,0.2239,"(19,24]",49.5616,"1",1,57
22,NA,"2",6.1,NA,NA,NA,37.21,"1",1,26
23,"6","1",NA,0.45,0.2836,"(19,24]",37.21,"1",1,44
0,"0","1",4.22,0.56,0,"(-0.01,5]",17.8084,"1",1,39
1,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,23
2,"0","1",4.22,0.56,0.0896,"(-0.01,5]",17.8084,"1",1,16
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,15
4,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,1
NA,"0",NA,NA,0.56,0.1642,"(-0.01,5]",NA,"1",1,2
6,NA,"2",4.22,NA,NA,NA,17.8084,"1",1,1
7,"0","2",3.28,0.56,0.2985,"(5,10]",10.7584,"1",1,3
8,"0","1",2.34,0.55,0.2836,"(5,10]",5.4756,"1",1,18
9,"0","1",2.34,0.51,0.2537,"(5,10]",5.4756,"1",1,32
10,"0","1",2.34,0.51,0.2836,"(5,10]",5.4756,"1",1,79
11,"0","1",3.28,0.44,0.2537,"(10,16]",NA,"1",1,93
12,"0","1",3.28,0.41,0.2836,"(10,16]",10.7584,"1",1,104
NA,"0",NA,NA,0.35,0.2985,"(10,16]",NA,"1",1,118
14,"0","1",5.16,0.36,0.2537,"(10,16]",26.6256,"1",1,91
15,"0","1",4.22,0.38,0.2537,NA,17.8084,"1",1,113
16,"0","1",3.28,0.38,0.2239,"(10,16]",10.7584,"1",1,99
17,"0","1",2.34,0.37,0.2537,"(16,19]",NA,"1",1,105
18,NA,"1",1.4,NA,NA,NA,1.96,"1",1,67
19,"0","1",0.459999999999999,0.47,0.1343,"(16,19]",0.211599999999999,"1",1,61
