"hr","weekday","weathersit","temp","hum","windspeed","ToD","temp2","season","mnth","cnt"
8,NA,"2",11.74,NA,NA,NA,137.8276,"4",12,584
0,NA,NA,20.2,NA,NA,NA,408.04,"3",8,35
11,NA,"1",27.72,NA,NA,NA,768.3984,"3",7,509
8,NA,NA,4.22,NA,NA,NA,17.8084,"4",12,119
4,NA,"3",21.14,NA,NA,NA,446.8996,"2",6,3
18,NA,"1",6.1,NA,NA,NA,NA,"4",11,328
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,256
16,NA,"1",35.24,NA,NA,NA,1241.8576,"3",7,306
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,63
11,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,175
2,NA,"2",NA,NA,NA,NA,37.21,"4",10,7
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,19
22,NA,"1",15.5,NA,NA,NA,240.25,"1",12,105
17,NA,NA,21.14,NA,NA,NA,446.8996,"4",10,715
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,24
2,NA,"1",17.38,NA,NA,NA,302.0644,"1",3,10
5,NA,"3",7.04,NA,NA,NA,49.5616,"2",3,10
12,NA,"1",15.5,NA,NA,NA,240.25,"1",3,105
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,305
8,NA,"2",29.6,NA,NA,NA,NA,"3",7,661
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,138
12,NA,"1",25.84,NA,NA,NA,667.7056,"2",5,321
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,172
6,NA,"1",24.9,NA,NA,NA,620.01,"3",7,121
15,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,127
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,256
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,76
16,NA,"2",7.98,NA,NA,NA,63.6804,"4",12,329
12,NA,NA,6.1,NA,NA,NA,37.21,"1",1,120
15,NA,"3",2.34,NA,NA,NA,5.4756,"1",1,43
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,563
23,NA,NA,11.74,NA,NA,NA,137.8276,"4",10,49
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,4
18,NA,"2",27.72,NA,NA,NA,768.3984,"3",8,814
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,131
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,6
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,3
15,NA,"2",NA,NA,NA,NA,370.9476,"2",6,272
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,290
23,NA,"1",6.1,NA,NA,NA,37.21,"2",4,53
NA,NA,NA,NA,NA,NA,NA,NA,"4",9,154
16,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,427
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,11
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,9
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,31
22,NA,"2",17.38,NA,NA,NA,302.0644,"3",9,84
23,NA,"2",8.92,NA,NA,NA,79.5664,"1",2,59
12,NA,"1",6.1,NA,NA,NA,37.21,"2",3,227
0,NA,NA,14.56,NA,NA,NA,211.9936,"4",10,43
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,20
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,305
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,323
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,108
23,NA,"1",14.56,NA,NA,NA,211.9936,"2",5,72
22,NA,"1",4.22,NA,NA,NA,17.8084,"4",11,135
22,NA,NA,5.16,NA,NA,NA,26.6256,"4",12,138
18,NA,"2",8.92,NA,NA,NA,79.5664,"1",3,225
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,109
3,NA,"1",11.74,NA,NA,NA,137.8276,"2",5,18
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,346
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,43
18,NA,"1",7.04,NA,NA,NA,49.5616,"1",3,184
13,NA,"2",10.8,NA,NA,NA,116.64,"4",11,248
9,NA,"3",5.16,NA,NA,NA,26.6256,"4",10,20
4,NA,"1",4.22,NA,NA,NA,17.8084,"4",12,4
1,NA,"1",17.38,NA,NA,NA,302.0644,"2",6,14
19,NA,"3",13.62,NA,NA,NA,185.5044,"4",11,111
NA,NA,"3",NA,NA,NA,NA,63.6804,"1",1,3
2,NA,"1",15.5,NA,NA,NA,240.25,"2",4,13
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,495
5,NA,"3",NA,NA,NA,NA,270.2736,"2",5,22
11,NA,"1",19.26,NA,NA,NA,370.9476,"2",5,279
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,125
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,39
1,NA,"1",20.2,NA,NA,NA,408.04,"2",6,21
23,NA,"1",28.66,NA,NA,NA,821.3956,"3",6,152
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,183
0,NA,"1",24.9,NA,NA,NA,620.01,"2",5,45
14,NA,"2",19.26,NA,NA,NA,370.9476,"1",3,221
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,267
10,NA,"1",31.48,NA,NA,NA,990.9904,"3",6,150
19,NA,"1",19.26,NA,NA,NA,370.9476,"2",3,221
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,47
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,35
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,567
18,NA,"1",19.26,NA,NA,NA,370.9476,"2",5,289
NA,NA,"1",34.3,NA,NA,NA,1176.49,"3",7,319
15,NA,"2",NA,NA,NA,NA,116.64,"4",11,306
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,110
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,522
6,NA,"1",9.86,NA,NA,NA,97.2196,"3",9,93
NA,NA,NA,NA,NA,NA,NA,NA,"4",9,508
21,NA,"1",-1.42,NA,NA,NA,2.0164,"1",1,20
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,28
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,184
0,NA,"1",NA,NA,NA,NA,335.6224,"4",10,102
17,NA,"1",23.02,NA,NA,NA,529.9204,"3",9,871
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,119
20,NA,"1",17.38,NA,NA,NA,302.0644,"4",10,197
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,94
16,NA,"3",20.2,NA,NA,NA,408.04,"3",7,326
2,NA,"2",1.4,NA,NA,NA,1.96,"1",1,1
2,NA,"3",NA,NA,NA,NA,185.5044,"4",10,8
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,189
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,5
NA,NA,"1",20.2,NA,NA,NA,408.04,"2",5,178
23,NA,"1",NA,NA,NA,NA,408.04,"2",6,183
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,239
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,144
22,NA,"3",17.38,NA,NA,NA,302.0644,"4",10,207
17,NA,"1",8.92,NA,NA,NA,79.5664,"1",2,287
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,246
7,NA,"1",21.14,NA,NA,NA,446.8996,"3",6,320
13,NA,"1",18.32,NA,NA,NA,NA,"2",4,159
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,88
18,NA,"1",29.6,NA,NA,NA,NA,"2",5,383
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,225
20,NA,"1",31.48,NA,NA,NA,990.9904,"3",7,195
11,NA,"1",NA,NA,NA,NA,487.5264,"2",6,239
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,32
16,NA,"2",17.38,NA,NA,NA,302.0644,"3",9,222
18,NA,"1",12.68,NA,NA,NA,160.7824,"4",12,399
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,669
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,10
18,NA,"1",4.22,NA,NA,NA,17.8084,"1",1,126
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,432
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,26
NA,NA,"1",25.84,NA,NA,NA,667.7056,"3",7,7
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,115
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,211
9,NA,"1",14.56,NA,NA,NA,211.9936,"1",3,315
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,175
NA,NA,NA,NA,NA,NA,NA,NA,"3",9,126
22,NA,"3",6.1,NA,NA,NA,37.21,"4",11,60
2,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,2
20,NA,"2",24.9,NA,NA,NA,620.01,"2",6,239
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,32
18,NA,"2",8.92,NA,NA,NA,79.5664,"4",11,273
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,117
7,NA,"2",7.98,NA,NA,NA,63.6804,"4",12,396
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,44
2,NA,"2",17.38,NA,NA,NA,302.0644,"2",5,82
21,NA,"1",NA,NA,NA,NA,160.7824,"4",11,171
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,408
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,194
8,NA,"1",17.38,NA,NA,NA,302.0644,"2",5,517
0,NA,"1",14.56,NA,NA,NA,NA,"1",2,29
20,NA,"2",9.86,NA,NA,NA,97.2196,"2",4,102
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,5
21,NA,"1",17.38,NA,NA,NA,302.0644,"2",5,234
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,167
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,6
21,NA,"1",8.92,NA,NA,NA,79.5664,"1",1,172
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,65
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,91
10,NA,NA,26.78,NA,NA,NA,717.1684,"3",9,422
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,120
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,188
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,183
23,NA,"1",14.56,NA,NA,NA,211.9936,"1",3,46
15,NA,"1",12.68,NA,NA,NA,160.7824,"1",1,188
15,NA,"1",24.9,NA,NA,NA,620.01,"3",7,112
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,211
22,NA,"1",7.98,NA,NA,NA,63.6804,"1",3,107
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,204
23,NA,"1",7.04,NA,NA,NA,49.5616,"1",3,86
6,NA,"1",15.5,NA,NA,NA,240.25,"4",10,114
4,NA,"1",23.96,NA,NA,NA,574.0816,"3",8,12
4,NA,"1",8.92,NA,NA,NA,79.5664,"4",10,6
11,NA,"2",21.14,NA,NA,NA,446.8996,"4",9,386
11,NA,"2",9.86,NA,NA,NA,97.2196,"2",4,180
19,NA,"1",NA,NA,NA,NA,574.0816,"2",5,301
12,NA,"2",16.44,NA,NA,NA,270.2736,"2",4,204
13,NA,"1",16.44,NA,NA,NA,270.2736,"4",11,651
22,NA,"2",8.92,NA,NA,NA,79.5664,"4",12,107
0,NA,"1",22.08,NA,NA,NA,487.5264,"3",9,37
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,402
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,384
NA,NA,NA,NA,NA,NA,NA,NA,"3",9,257
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,329
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,691
23,NA,"2",23.02,NA,NA,NA,529.9204,"3",6,179
5,NA,"2",11.74,NA,NA,NA,137.8276,"2",4,14
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,397
19,NA,NA,NA,NA,NA,NA,10.7584,"1",12,60
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,95
7,NA,"3",6.1,NA,NA,NA,37.21,"4",11,293
23,NA,"1",1.4,NA,NA,NA,1.96,"4",12,35
9,NA,NA,10.8,NA,NA,NA,116.64,"4",11,149
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,3
0,NA,"1",2.34,NA,NA,NA,5.4756,"1",3,8
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,196
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,84
13,NA,"1",10.8,NA,NA,NA,116.64,"4",11,355
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,383
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,106
21,NA,"2",13.62,NA,NA,NA,185.5044,"4",12,245
8,NA,"1",23.02,NA,NA,NA,529.9204,"3",9,719
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,156
14,NA,"1",19.26,NA,NA,NA,370.9476,"2",4,391
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,102
13,NA,"1",6.1,NA,NA,NA,37.21,"1",3,164
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,2
2,NA,"2",15.5,NA,NA,NA,240.25,"4",10,90
8,NA,"1",7.04,NA,NA,NA,49.5616,"4",11,466
17,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,479
3,NA,"2",18.32,NA,NA,NA,335.6224,"2",6,4
18,NA,"1",7.98,NA,NA,NA,63.6804,"4",12,382
14,NA,"1",35.24,NA,NA,NA,1241.8576,"3",7,444
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,281
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,218
10,NA,"1",24.9,NA,NA,NA,620.01,"2",5,108
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,47
10,NA,"1",34.3,NA,NA,NA,1176.49,"3",7,115
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,145
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,177
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,342
NA,NA,NA,NA,NA,NA,NA,NA,"4",9,275
18,NA,"1",16.44,NA,NA,NA,270.2736,"2",4,654
6,NA,"1",7.98,NA,NA,NA,63.6804,"1",1,88
NA,NA,NA,NA,NA,NA,NA,NA,"3",6,824
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,321
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,190
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,380
0,NA,"2",17.38,NA,NA,NA,302.0644,"2",4,124
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,19
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,127
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,23
17,NA,"2",7.04,NA,NA,NA,49.5616,"4",12,561
6,NA,"1",22.08,NA,NA,NA,487.5264,"3",8,27
5,NA,"1",NA,NA,NA,NA,116.64,"2",3,5
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,19
3,NA,"2",15.5,NA,NA,NA,240.25,"2",4,6
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,6
19,NA,"1",14.56,NA,NA,NA,211.9936,"4",10,338
22,NA,"1",21.14,NA,NA,NA,446.8996,"2",6,175
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,190
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,314
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,12
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,120
6,NA,"2",25.84,NA,NA,NA,667.7056,"2",6,118
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,8
21,NA,"1",10.8,NA,NA,NA,116.64,"4",10,204
NA,NA,"2",21.14,NA,NA,NA,446.8996,"2",5,305
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,421
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,53
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,160
11,NA,NA,14.56,NA,NA,NA,211.9936,"4",12,269
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,441
13,NA,"3",19.26,NA,NA,NA,370.9476,"2",5,183
8,NA,"3",1.4,NA,NA,NA,1.96,"1",2,10
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,270
NA,NA,NA,NA,NA,NA,NA,NA,"4",9,666
13,NA,"3",12.68,NA,NA,NA,160.7824,"1",12,58
0,NA,"2",6.1,NA,NA,NA,37.21,"4",11,129
17,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,847
18,NA,"1",11.74,NA,NA,NA,137.8276,"4",11,479
NA,NA,NA,NA,NA,NA,NA,NA,"1",12,19
3,NA,"2",7.98,NA,NA,NA,63.6804,"2",3,1
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,12
9,NA,"2",25.84,NA,NA,NA,667.7056,"3",9,323
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,4
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,5
NA,NA,NA,NA,NA,NA,NA,NA,"3",9,60
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,358
11,NA,"1",3.28,NA,NA,NA,10.7584,"1",12,152
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,112
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,70
2,NA,"1",24.9,NA,NA,NA,620.01,"3",8,20
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,276
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,363
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,38
12,NA,"2",29.6,NA,NA,NA,876.16,"2",6,183
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,287
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,12
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,105
21,NA,"1",21.14,NA,NA,NA,446.8996,"2",6,313
NA,NA,"1",25.84,NA,NA,NA,667.7056,"2",5,275
23,NA,"1",25.84,NA,NA,NA,667.7056,"3",7,91
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,27
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,337
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,15
19,NA,"2",NA,NA,NA,NA,26.6256,"1",2,84
14,NA,"3",10.8,NA,NA,NA,116.64,"4",10,120
4,NA,"1",18.32,NA,NA,NA,335.6224,"2",4,6
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,97
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,64
1,NA,"2",24.9,NA,NA,NA,620.01,"3",7,78
17,NA,"1",27.72,NA,NA,NA,768.3984,"2",5,827
17,NA,"1",26.78,NA,NA,NA,717.1684,"3",9,579
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,51
NA,NA,NA,NA,NA,NA,NA,NA,"1",3,86
6,NA,"1",26.78,NA,NA,NA,717.1684,"3",7,31
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,289
NA,NA,NA,NA,NA,NA,NA,NA,"2",5,382
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,50
17,NA,"1",8.92,NA,NA,NA,79.5664,"4",11,580
19,NA,"1",23.96,NA,NA,NA,574.0816,"2",6,491
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,238
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,130
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,1
9,NA,"1",-0.48,NA,NA,NA,0.2304,"1",1,81
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,7
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,110
20,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,145
19,NA,"1",30.54,NA,NA,NA,932.6916,"3",7,382
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,77
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,64
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,176
6,NA,"1",16.44,NA,NA,NA,270.2736,"3",9,35
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,258
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,116
22,NA,"2",10.8,NA,NA,NA,116.64,"1",1,28
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,331
3,NA,"2",18.32,NA,NA,NA,335.6224,"2",6,5
NA,NA,NA,NA,NA,NA,NA,NA,"2",3,7
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,216
NA,NA,NA,NA,NA,NA,NA,NA,"2",4,268
5,NA,NA,3.28,NA,NA,NA,10.7584,"1",2,20
8,NA,"2",16.44,NA,NA,NA,270.2736,"2",5,557
15,NA,"3",11.74,NA,NA,NA,137.8276,"1",2,35
23,NA,NA,27.72,NA,NA,NA,768.3984,"3",7,131
NA,NA,NA,NA,NA,NA,NA,NA,"1",1,57
22,NA,"1",15.5,NA,NA,NA,240.25,"2",5,232
NA,NA,NA,NA,NA,NA,NA,NA,"4",11,209
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,30
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,10
6,NA,"1",18.32,NA,NA,NA,335.6224,"2",5,160
0,NA,"1",18.32,NA,NA,NA,335.6224,"2",3,95
NA,NA,NA,NA,NA,NA,NA,NA,"2",6,91
9,NA,"1",25.84,NA,NA,NA,667.7056,"3",6,332
4,NA,"1",6.1,NA,NA,NA,37.21,"2",4,3
14,NA,"2",6.1,NA,NA,NA,37.21,"1",12,142
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,119
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,163
NA,NA,NA,NA,NA,NA,NA,NA,"1",2,9
6,NA,"1",7.98,NA,NA,NA,63.6804,"2",4,7
NA,NA,NA,NA,NA,NA,NA,NA,"3",8,491
NA,NA,NA,NA,NA,NA,NA,NA,"3",7,447
18,NA,"1",34.3,NA,NA,NA,1176.49,"2",6,459
NA,NA,NA,NA,NA,NA,NA,NA,"4",12,92
NA,NA,NA,NA,NA,NA,NA,NA,"4",10,322
